Date,Time,Ons,Offs,Longitude,Latitude,Dwell Time
2024-04-02,22:12:55,3,14,-73.99162,40.60868,7.33
2024-04-02,22:17:55,11,0,-73.991623,40.689515,15.07
2024-04-02,22:22:55,2,1,-74.043483,40.634247,15.97
2024-04-02,22:27:55,7,14,-74.029675,40.710791,14.4
2024-04-02,22:37:55,5,7,-73.975969,40.78228,8.02
2024-04-02,22:39:55,7,6,-73.986407,40.703741,28.51
2024-04-02,22:47:55,13,0,-73.984006,40.718374,15.61
2024-04-02,22:51:55,15,0,-74.036746,40.695998,20.63
2024-04-02,22:59:55,15,4,-73.974481,40.695125,7.98
2024-04-02,23:05:55,5,8,-73.965961,40.716392,20.03
2024-04-02,23:06:55,11,15,-74.004561,40.734181,28.39
2024-04-02,23:11:55,2,14,-73.959865,40.756413,18.18
2024-04-02,23:13:55,4,5,-74.027187,40.722412,15.74
2024-04-02,23:18:55,9,8,-74.021451,40.654187,18.77
2024-04-02,23:28:55,15,12,-74.040215,40.752797,21.82
2024-04-02,23:30:55,12,2,-74.035922,40.78941,17.08
2024-04-02,23:32:55,14,5,-73.95249,40.783778,10.06
2024-04-02,23:41:55,4,15,-73.965479,40.674798,24.28
2024-04-02,23:49:55,6,1,-73.989045,40.798704,7.26
2024-04-02,23:50:55,6,3,-74.011666,40.76856,22.47
2024-04-02,23:59:55,11,1,-73.989973,40.706918,29.4
2024-04-03,00:07:55,2,11,-73.98948,40.775217,21.45
2024-04-03,00:09:55,13,5,-74.003295,40.704014,19.88
2024-04-03,00:23:55,10,2,-73.962732,40.659857,10.65
2024-04-03,00:34:55,12,5,-73.987753,40.602491,6.26
2024-04-03,00:35:55,14,5,-73.975293,40.762085,28.77
2024-04-03,00:39:55,5,11,-73.983133,40.681807,17.47
2024-04-03,00:43:55,13,15,-73.970968,40.632928,8.59
2024-04-03,00:55:55,10,8,-74.014026,40.695765,6.6
2024-04-03,01:08:55,2,6,-74.001663,40.626965,24.53
2024-04-03,01:12:55,5,10,-73.969143,40.694395,16.26
2024-04-03,01:14:55,3,7,-73.959505,40.733767,9.1
2024-04-03,01:27:55,8,10,-73.952507,40.64084,13.74
2024-04-03,01:38:55,8,14,-73.951066,40.671293,5.62
2024-04-03,01:40:55,11,4,-74.00434,40.689503,22.15
2024-04-03,01:53:55,14,9,-74.0115,40.714423,5.48
2024-04-03,01:55:55,5,9,-73.952762,40.626891,10.51
2024-04-03,02:02:55,4,7,-74.033237,40.632464,18.39
2024-04-03,02:14:55,9,5,-73.997828,40.646531,28.01
2024-04-03,02:22:55,8,1,-74.04863,40.725233,23.46
2024-04-03,02:35:55,4,4,-73.960367,40.670949,11.37
2024-04-03,02:50:55,12,3,-73.955521,40.705339,15.62
2024-04-03,02:51:55,7,6,-73.975111,40.7291,23.16
2024-04-03,02:59:55,0,11,-73.997501,40.696004,6.81
2024-04-03,03:11:55,3,9,-73.959517,40.684263,11.71
2024-04-03,03:20:55,7,6,-74.020592,40.795612,15.34
2024-04-03,03:27:55,4,8,-74.036556,40.770908,14.42
2024-04-03,03:40:55,14,3,-74.041495,40.692373,19.46
2024-04-03,03:43:55,4,7,-74.049615,40.706469,20.99
2024-04-03,03:49:55,13,1,-73.969596,40.702917,23.74
2024-04-03,03:50:55,1,6,-73.963819,40.769813,8.67
2024-04-03,03:52:55,0,9,-73.997927,40.760416,10.8
2024-04-03,04:03:55,5,1,-73.999044,40.758187,19.1
2024-04-03,04:04:55,1,14,-73.95371,40.687071,13.14
2024-04-03,04:19:55,15,15,-74.031532,40.753228,15.8
2024-04-03,04:32:55,2,9,-74.001433,40.727607,8.85
2024-04-03,04:44:55,4,12,-74.009154,40.795595,7.1
2024-04-03,04:46:55,3,11,-74.017238,40.645438,16.79
2024-04-03,04:52:55,7,3,-74.008459,40.635137,22.71
2024-04-03,05:03:55,4,11,-73.986327,40.67668,5.92
2024-04-03,05:04:55,13,7,-73.982823,40.745974,10.22
2024-04-03,05:12:55,3,13,-73.96596,40.687714,29.6
2024-04-03,05:21:55,9,5,-74.04506,40.75807,27.05
2024-04-03,05:23:55,14,10,-74.047098,40.79126,6.9
2024-04-03,05:27:55,6,15,-74.019565,40.657866,21.26
2024-04-03,05:31:55,11,11,-73.995415,40.766154,8.21
2024-04-03,05:39:55,14,9,-73.955442,40.711198,25.88
2024-04-03,05:41:55,2,1,-73.99235,40.608071,28.38
2024-04-03,05:55:55,7,14,-73.98274,40.636431,26.7
2024-04-03,06:08:55,2,2,-74.01695,40.709366,17.34
2024-04-03,06:12:55,5,12,-74.043826,40.77974,17.96
2024-04-03,06:22:55,12,3,-74.011599,40.747403,8.34
